id, number, label
162, 5, EASY
163, 4, EASY
164, 6, EASY
165, 5, EASY
166, 4, EASY
167, 5, EASY
168, 1, EASY
169, 4, EASY
170, 4, EASY
171, 7, EASY
172, 2, EASY
173, 3, EASY
174, 2, EASY
175, 7, EASY
176, 1, EASY
177, 8, EASY
178, 1, EASY
179, 8, EASY
180, 1, EASY
181, 8, EASY
182, 5, EASY
183, 0, EASY
184, 8, EASY
185, 9, EASY
186, 2, EASY
187, 5, EASY
188, 0, EASY
189, 1, EASY
190, 1, EASY
191, 1, EASY
192, 0, EASY
193, 9, HARD
194, 0, EASY
195, 3, EASY
196, 1, EASY
197, 6, EASY
198, 4, EASY
199, 2, EASY
200, 3, EASY
201, 6, EASY
202, 1, EASY
203, 1, EASY
204, 1, EASY
205, 3, EASY
206, 9, EASY
207, 5, EASY
208, 2, EASY
209, 9, EASY
210, 4, EASY
211, 5, EASY
212, 9, EASY
213, 3, EASY
214, 9, EASY
215, 0, EASY
216, 3, EASY
217, 6, HARD
218, 5, EASY
219, 5, EASY
220, 7, EASY
221, 2, EASY
222, 2, EASY
223, 7, EASY
224, 1, EASY
225, 2, EASY
226, 8, EASY
227, 4, EASY
228, 1, EASY
229, 7, EASY
230, 3, EASY
231, 3, EASY
232, 8, EASY
233, 8, HARD
234, 7, EASY
235, 9, EASY
236, 2, EASY
237, 2, EASY
238, 4, EASY
239, 1, EASY
240, 5, EASY
241, 9, HARD
242, 8, EASY
243, 7, EASY
244, 2, EASY
245, 3, HARD
246, 0, EASY
247, 4, HARD
248, 4, EASY
249, 2, EASY
250, 4, EASY
251, 1, EASY
252, 9, EASY
253, 5, EASY
254, 7, EASY
255, 7, EASY
256, 2, EASY
257, 8, EASY
258, 2, EASY
259, 6, HARD
260, 8, EASY
261, 5, EASY
262, 7, EASY
263, 7, EASY
264, 9, EASY
265, 1, EASY
266, 8, EASY
267, 1, EASY
268, 8, EASY
269, 0, EASY
270, 3, EASY
271, 0, EASY
272, 1, EASY
273, 9, EASY
274, 9, EASY
275, 4, EASY
276, 1, EASY
277, 8, EASY
278, 2, EASY
279, 1, EASY
280, 2, EASY
281, 9, EASY
282, 7, EASY
283, 5, EASY
284, 9, EASY
285, 2, EASY
286, 6, EASY
287, 4, EASY
288, 1, EASY
289, 5, EASY
290, 8, HARD
291, 2, EASY
292, 9, EASY
293, 2, EASY
294, 0, EASY
295, 4, EASY
296, 0, EASY
297, 0, EASY
298, 2, EASY
299, 8, EASY
300, 4, EASY
301, 7, EASY
302, 1, EASY
303, 2, EASY
304, 4, EASY
305, 0, EASY
306, 2, EASY
307, 7, EASY
308, 4, EASY
309, 3, EASY
310, 3, EASY
311, 0, EASY
312, 0, EASY
313, 3, HARD
314, 1, EASY
315, 9, EASY
316, 6, EASY
317, 5, EASY
318, 2, HARD
319, 5, EASY
320, 9, HARD
321, 2, HARD
322, 9, EASY
323, 3, EASY
324, 0, EASY
325, 4, EASY
326, 2, EASY
327, 0, EASY
328, 7, EASY
329, 1, EASY
330, 1, EASY
331, 2, EASY
332, 1, EASY
333, 5, EASY
334, 3, EASY
335, 3, EASY
336, 9, EASY
337, 7, EASY
338, 8, EASY
339, 6, EASY
340, 5, HARD
341, 6, EASY
342, 1, EASY
343, 3, EASY
344, 8, HARD
345, 1, EASY
346, 0, EASY
347, 5, EASY
348, 1, EASY
349, 3, EASY
350, 1, EASY
351, 5, EASY
352, 5, HARD
353, 6, EASY
354, 1, EASY
355, 8, EASY
356, 5, EASY
357, 1, EASY
358, 7, EASY
359, 9, HARD
360, 4, EASY
361, 6, EASY
362, 2, HARD
363, 2, EASY
364, 5, EASY
365, 0, EASY
366, 6, EASY
367, 5, EASY
368, 6, EASY
369, 3, EASY
370, 7, EASY
371, 2, EASY
372, 0, EASY
373, 8, EASY
374, 8, EASY
375, 5, EASY
376, 4, EASY
377, 1, EASY
378, 1, EASY
379, 4, EASY
380, 0, EASY
381, 3, HARD
382, 3, EASY
383, 7, EASY
384, 6, EASY
385, 1, EASY
386, 6, EASY
387, 2, EASY
388, 1, EASY
389, 9, EASY
390, 2, EASY
391, 8, EASY
392, 6, EASY
393, 1, EASY
394, 9, EASY
395, 5, EASY
396, 2, EASY
397, 5, EASY
398, 4, EASY
399, 4, EASY
400, 2, EASY
401, 8, EASY
402, 3, EASY
403, 8, HARD
404, 2, EASY
405, 4, EASY
406, 5, HARD
407, 0, EASY
408, 3, EASY
409, 1, EASY
410, 7, EASY
411, 7, EASY
412, 5, HARD
413, 7, EASY
414, 9, EASY
415, 7, EASY
416, 1, EASY
417, 9, EASY
418, 2, EASY
419, 1, EASY
420, 4, EASY
421, 2, EASY
422, 9, EASY
423, 2, EASY
424, 0, EASY
425, 4, EASY
426, 9, EASY
427, 1, EASY
428, 4, EASY
429, 8, EASY
430, 1, EASY
431, 8, EASY
432, 4, EASY
433, 5, EASY
434, 9, EASY
435, 8, EASY
436, 8, EASY
437, 3, EASY
438, 7, EASY
439, 6, EASY
440, 0, EASY
441, 0, EASY
442, 3, EASY
443, 0, EASY
444, 2, HARD
445, 6, HARD
446, 6, EASY
447, 4, EASY
448, 9, HARD
449, 3, HARD
450, 3, EASY
451, 3, EASY
452, 2, EASY
453, 3, EASY
454, 9, EASY
455, 1, EASY
456, 2, EASY
457, 6, EASY
458, 8, EASY
459, 0, EASY
460, 5, EASY
461, 6, EASY
462, 6, EASY
463, 6, EASY
464, 3, HARD
465, 8, EASY
466, 8, EASY
467, 2, EASY
468, 7, EASY
469, 5, EASY
470, 8, EASY
471, 9, EASY
472, 6, EASY
473, 1, EASY
474, 8, EASY
475, 4, EASY
476, 1, EASY
477, 2, EASY
478, 5, HARD
479, 9, HARD
480, 1, EASY
481, 9, EASY
482, 7, EASY
483, 5, EASY
484, 4, EASY
485, 0, EASY
486, 8, EASY
487, 9, EASY
488, 9, EASY
489, 1, EASY
490, 0, EASY
491, 5, EASY
492, 2, EASY
493, 3, EASY
494, 7, EASY
495, 8, HARD
496, 9, EASY
497, 4, EASY
498, 0, EASY
499, 6, EASY
500, 3, EASY
501, 9, EASY
502, 5, HARD
503, 2, EASY
504, 1, EASY
505, 3, EASY
506, 1, EASY
507, 3, HARD
508, 6, EASY
509, 5, EASY
510, 7, EASY
511, 4, HARD
512, 2, EASY
513, 2, EASY
514, 6, EASY
515, 3, EASY
516, 2, EASY
517, 6, EASY
518, 5, EASY
519, 4, EASY
520, 8, EASY
521, 9, EASY
522, 7, EASY
523, 1, EASY
524, 3, EASY
525, 0, EASY
526, 3, EASY
527, 8, EASY
528, 3, EASY
529, 1, EASY
530, 9, EASY
531, 3, HARD
532, 4, EASY
533, 4, EASY
534, 6, EASY
535, 4, EASY
536, 2, EASY
537, 1, EASY
538, 8, EASY
539, 2, EASY
540, 5, EASY
541, 4, EASY
542, 8, EASY
543, 8, HARD
544, 4, EASY
545, 0, EASY
546, 0, EASY
547, 2, EASY
548, 3, EASY
549, 2, EASY
550, 7, EASY
551, 7, HARD
552, 0, EASY
553, 8, EASY
554, 7, EASY
555, 4, EASY
556, 4, EASY
557, 7, EASY
558, 9, EASY
559, 6, EASY
560, 9, EASY
561, 0, EASY
562, 9, EASY
563, 8, EASY
564, 0, EASY
565, 4, HARD
566, 6, EASY
567, 0, EASY
568, 6, EASY
569, 3, EASY
570, 5, EASY
571, 4, EASY
572, 8, EASY
573, 3, EASY
574, 3, EASY
575, 9, EASY
576, 3, EASY
577, 3, EASY
578, 3, HARD
579, 7, EASY
580, 8, EASY
581, 0, EASY
582, 8, HARD
583, 2, EASY
584, 1, EASY
585, 7, EASY
586, 0, EASY
587, 6, EASY
588, 5, EASY
589, 4, EASY
590, 3, EASY
591, 8, HARD
592, 0, EASY
593, 9, EASY
594, 6, EASY
595, 3, EASY
596, 8, EASY
597, 0, EASY
598, 9, EASY
599, 9, EASY
600, 6, EASY
601, 8, EASY
602, 6, EASY
603, 8, EASY
604, 5, EASY
605, 7, EASY
606, 8, EASY
607, 6, EASY
608, 0, EASY
609, 2, EASY
610, 4, EASY
611, 0, EASY
612, 2, EASY
613, 2, HARD
614, 3, EASY
615, 1, EASY
616, 9, EASY
617, 7, EASY
618, 5, EASY
619, 1, EASY
620, 0, EASY
621, 8, EASY
622, 4, EASY
623, 6, EASY
624, 2, HARD
625, 6, EASY
626, 7, EASY
627, 9, HARD
628, 3, HARD
629, 2, HARD
630, 9, EASY
631, 8, EASY
632, 2, EASY
633, 2, EASY
634, 9, EASY
635, 2, EASY
636, 7, EASY
637, 3, EASY
638, 5, EASY
639, 9, EASY
640, 1, EASY
641, 8, EASY
642, 0, EASY
643, 2, EASY
644, 0, EASY
645, 5, EASY
646, 2, EASY
647, 1, EASY
648, 3, EASY
649, 7, EASY
650, 6, EASY
651, 7, EASY
652, 1, EASY
653, 2, EASY
654, 5, EASY
655, 8, EASY
656, 0, EASY
657, 3, EASY
658, 7, EASY
659, 2, HARD
660, 4, EASY
661, 0, EASY
662, 9, EASY
663, 1, EASY
664, 8, EASY
665, 6, EASY
666, 7, EASY
667, 7, EASY
668, 4, EASY
669, 3, EASY
670, 4, EASY
671, 9, EASY
672, 1, EASY
673, 9, EASY
674, 5, EASY
675, 1, EASY
676, 7, EASY
677, 3, EASY
678, 9, EASY
679, 7, EASY
680, 6, EASY
681, 9, EASY
682, 1, EASY
683, 3, EASY
684, 7, HARD
685, 8, EASY
686, 3, EASY
687, 3, EASY
688, 6, EASY
689, 7, EASY
690, 2, EASY
691, 8, HARD
692, 5, HARD
693, 8, EASY
694, 5, EASY
695, 1, EASY
696, 1, EASY
697, 4, EASY
698, 4, EASY
699, 3, EASY
700, 1, EASY
701, 0, EASY
702, 7, EASY
703, 7, EASY
704, 0, EASY
705, 7, EASY
706, 9, EASY
707, 4, HARD
708, 4, EASY
709, 8, EASY
710, 5, EASY
711, 5, EASY
712, 4, EASY
713, 0, EASY
714, 8, EASY
715, 2, EASY
716, 1, EASY
717, 0, HARD
718, 8, EASY
719, 4, EASY
720, 5, HARD
721, 0, EASY
722, 4, EASY
723, 0, EASY
724, 6, EASY
725, 1, EASY
726, 7, EASY
727, 3, EASY
728, 2, HARD
729, 6, EASY
730, 7, EASY
731, 2, EASY
732, 6, EASY
733, 9, EASY
734, 3, EASY
735, 1, EASY
736, 4, EASY
737, 6, EASY
738, 2, HARD
739, 5, EASY
740, 4, HARD
741, 2, EASY
742, 0, EASY
743, 6, EASY
744, 2, EASY
745, 1, EASY
746, 7, EASY
747, 3, EASY
748, 4, EASY
749, 1, EASY
750, 0, EASY
751, 5, EASY
752, 4, EASY
753, 3, EASY
754, 1, EASY
755, 1, EASY
756, 7, EASY
757, 4, EASY
758, 9, EASY
759, 9, EASY
760, 4, HARD
761, 8, EASY
762, 4, EASY
763, 0, EASY
764, 2, EASY
765, 4, EASY
766, 5, EASY
767, 1, EASY
768, 1, EASY
769, 6, EASY
770, 4, EASY
771, 7, EASY
772, 1, EASY
773, 9, EASY
774, 4, EASY
775, 2, EASY
776, 4, EASY
777, 1, EASY
778, 5, EASY
779, 5, EASY
780, 3, EASY
781, 8, HARD
782, 3, EASY
783, 1, EASY
784, 4, EASY
785, 5, EASY
786, 6, EASY
787, 8, EASY
788, 9, EASY
789, 4, EASY
790, 1, EASY
791, 5, EASY
792, 3, EASY
793, 8, EASY
794, 0, EASY
795, 3, EASY
796, 2, EASY
797, 5, EASY
798, 1, EASY
799, 2, EASY
800, 8, HARD
801, 3, EASY
802, 4, EASY
803, 4, EASY
804, 0, EASY
805, 8, EASY
806, 8, EASY
807, 3, EASY
808, 3, EASY
809, 1, EASY
810, 7, EASY
811, 3, EASY
812, 5, EASY
813, 9, EASY
814, 6, EASY
815, 3, EASY
816, 2, EASY
817, 6, EASY
818, 1, EASY
819, 3, EASY
820, 6, EASY
821, 0, EASY
822, 7, EASY
823, 2, EASY
824, 1, EASY
825, 7, EASY
826, 1, EASY
827, 4, EASY
828, 2, EASY
829, 4, HARD
830, 2, EASY
831, 1, EASY
832, 7, EASY
833, 9, EASY
834, 6, EASY
835, 1, EASY
836, 1, EASY
837, 2, EASY
838, 4, EASY
839, 8, HARD
840, 1, EASY
841, 7, EASY
842, 7, EASY
843, 4, EASY
844, 8, HARD
845, 0, EASY
846, 7, EASY
847, 3, EASY
848, 1, EASY
849, 3, EASY
850, 1, EASY
851, 0, EASY
852, 7, EASY
853, 7, EASY
854, 0, EASY
855, 3, EASY
856, 5, EASY
857, 5, HARD
858, 2, EASY
859, 7, EASY
860, 6, EASY
861, 6, EASY
862, 9, EASY
863, 2, EASY
864, 8, EASY
865, 3, EASY
866, 5, EASY
867, 2, EASY
868, 2, EASY
869, 5, EASY
870, 6, EASY
871, 0, EASY
872, 8, EASY
873, 2, EASY
874, 9, EASY
875, 2, EASY
876, 8, EASY
877, 8, HARD
878, 8, EASY
879, 8, EASY
880, 7, EASY
881, 4, HARD
882, 9, HARD
883, 3, EASY
884, 0, EASY
885, 6, EASY
886, 6, EASY
887, 3, EASY
888, 2, EASY
889, 1, EASY
890, 3, EASY
891, 2, EASY
892, 2, EASY
893, 9, EASY
894, 3, EASY
895, 0, EASY
896, 0, EASY
897, 5, EASY
898, 7, EASY
899, 8, EASY
900, 1, EASY
901, 4, EASY
902, 4, EASY
903, 6, EASY
904, 0, EASY
905, 2, EASY
906, 9, EASY
907, 1, EASY
908, 4, EASY
909, 7, EASY
910, 4, EASY
911, 7, EASY
912, 3, EASY
913, 9, EASY
914, 8, EASY
915, 8, EASY
916, 4, EASY
917, 7, EASY
918, 1, EASY
919, 2, EASY
920, 1, EASY
921, 2, EASY
922, 2, EASY
923, 3, EASY
924, 2, HARD
925, 3, EASY
926, 2, EASY
927, 3, EASY
928, 9, EASY
929, 1, EASY
930, 7, EASY
931, 4, EASY
932, 0, EASY
933, 3, EASY
934, 5, EASY
935, 5, EASY
936, 8, EASY
937, 6, EASY
938, 3, HARD
939, 2, HARD
940, 6, EASY
941, 7, EASY
942, 6, EASY
943, 6, EASY
944, 3, EASY
945, 2, EASY
946, 7, EASY
947, 8, HARD
948, 1, EASY
949, 1, EASY
950, 7, HARD
951, 5, HARD
952, 6, EASY
953, 4, EASY
954, 9, EASY
955, 5, EASY
956, 1, HARD
957, 3, EASY
958, 3, EASY
959, 4, HARD
960, 7, EASY
961, 8, EASY
962, 9, EASY
963, 1, EASY
964, 1, EASY
965, 6, HARD
966, 9, EASY
967, 1, EASY
968, 4, EASY
969, 4, EASY
970, 5, EASY
971, 4, EASY
972, 0, EASY
973, 6, EASY
974, 2, EASY
975, 2, HARD
976, 3, EASY
977, 1, EASY
978, 5, EASY
979, 1, EASY
980, 2, EASY
981, 0, EASY
982, 3, HARD
983, 8, EASY
984, 1, EASY
985, 2, EASY
986, 6, EASY
987, 7, EASY
988, 1, EASY
989, 6, EASY
990, 2, EASY
991, 3, EASY
992, 9, EASY
993, 0, EASY
994, 1, EASY
995, 2, EASY
996, 2, EASY
997, 0, EASY
998, 8, EASY
999, 9, EASY
1000, 9, EASY
1001, 0, EASY
1002, 2, EASY
1003, 5, HARD
1004, 1, EASY
1005, 9, EASY
1006, 7, EASY
1007, 8, EASY
1008, 1, EASY
1009, 0, EASY
1010, 4, EASY
1011, 1, EASY
1012, 7, HARD
1013, 9, EASY
1014, 6, HARD
1015, 4, EASY
1016, 2, EASY
1017, 6, HARD
1018, 8, EASY
1019, 1, EASY
1020, 3, EASY
1021, 7, EASY
1022, 5, EASY
1023, 4, EASY
1024, 4, EASY
1025, 1, EASY
1026, 8, EASY
1027, 1, EASY
1028, 3, EASY
1029, 8, EASY
1030, 1, EASY
1031, 2, EASY
1032, 5, HARD
1033, 8, EASY
1034, 0, EASY
1035, 6, EASY
1036, 2, EASY
1037, 1, EASY
1038, 1, EASY
1039, 7, HARD
1040, 1, EASY
1041, 5, EASY
1042, 3, EASY
1043, 4, EASY
1044, 6, HARD
1045, 9, EASY
1046, 5, EASY
1047, 0, EASY
1048, 9, EASY
1049, 2, EASY
1050, 2, HARD
1051, 4, EASY
1052, 8, EASY
1053, 2, EASY
1054, 1, EASY
1055, 7, EASY
1056, 2, EASY
1057, 4, EASY
1058, 9, EASY
1059, 4, EASY
1060, 4, EASY
1061, 0, EASY
1062, 3, HARD
1063, 9, EASY
1064, 2, EASY
1065, 2, EASY
1066, 3, EASY
1067, 3, EASY
1068, 8, HARD
1069, 3, EASY
1070, 5, EASY
1071, 7, EASY
1072, 3, EASY
1073, 5, EASY
1074, 8, EASY
1075, 1, EASY
1076, 2, EASY
1077, 4, EASY
1078, 4, EASY
1079, 6, EASY
1080, 4, EASY
1081, 9, EASY
1082, 5, HARD
1083, 1, EASY
1084, 0, EASY
1085, 6, EASY
1086, 9, EASY
1087, 5, EASY
1088, 9, EASY
1089, 5, EASY
1090, 9, EASY
1091, 7, EASY
1092, 3, EASY
1093, 8, EASY
1094, 0, EASY
1095, 3, EASY
1096, 7, EASY
1097, 1, EASY
1098, 3, EASY
1099, 6, EASY
1100, 7, EASY
1101, 8, HARD
1102, 5, EASY
1103, 9, EASY
1104, 7, EASY
1105, 9, EASY
1106, 6, EASY
1107, 9, HARD
1108, 6, EASY
1109, 3, EASY
1110, 7, EASY
1111, 4, EASY
1112, 4, HARD
1113, 5, EASY
1114, 3, HARD
1115, 5, EASY
1116, 4, EASY
1117, 7, EASY
1118, 8, EASY
1119, 7, HARD
1120, 8, EASY
1121, 0, EASY
1122, 7, EASY
1123, 6, EASY
1124, 8, EASY
1125, 8, EASY
1126, 7, EASY
1127, 3, EASY
1128, 3, HARD
1129, 1, EASY
1130, 9, EASY
1131, 5, EASY
1132, 2, EASY
1133, 7, EASY
1134, 3, EASY
1135, 5, EASY
1136, 1, EASY
1137, 1, EASY
1138, 2, EASY
1139, 1, EASY
1140, 4, EASY
1141, 7, EASY
1142, 4, EASY
1143, 7, EASY
1144, 5, EASY
1145, 4, EASY
1146, 5, EASY
1147, 4, EASY
1148, 0, EASY
1149, 8, EASY
1150, 3, EASY
1151, 6, EASY
1152, 9, EASY
1153, 6, HARD
1154, 0, EASY
1155, 2, EASY
1156, 7, EASY
1157, 4, HARD
1158, 4, EASY
1159, 4, EASY
1160, 4, EASY
1161, 6, EASY
1162, 6, EASY
1163, 4, EASY
1164, 7, EASY
1165, 9, EASY
1166, 3, EASY
1167, 4, EASY
1168, 5, EASY
1169, 5, EASY
1170, 8, EASY
1171, 7, EASY
1172, 3, EASY
1173, 7, EASY
1174, 2, EASY
1175, 7, EASY
1176, 0, EASY
1177, 2, EASY
1178, 4, EASY
1179, 1, EASY
1180, 1, EASY
1181, 6, HARD
1182, 6, HARD
1183, 9, EASY
1184, 2, EASY
1185, 8, EASY
1186, 7, EASY
1187, 2, EASY
1188, 0, EASY
1189, 1, EASY
1190, 5, EASY
1191, 0, EASY
1192, 9, HARD
1193, 1, EASY
1194, 7, HARD
1195, 0, EASY
1196, 6, EASY
1197, 0, EASY
1198, 8, HARD
1199, 6, EASY
1200, 8, HARD
1201, 1, EASY
1202, 8, HARD
1203, 0, EASY
1204, 3, HARD
1205, 3, EASY
1206, 7, HARD
1207, 2, EASY
1208, 3, HARD
1209, 6, EASY
1210, 2, EASY
1211, 1, EASY
1212, 6, EASY
1213, 1, EASY
1214, 1, EASY
1215, 3, EASY
1216, 7, EASY
1217, 9, HARD
1218, 0, EASY
1219, 8, EASY
1220, 0, EASY
1221, 5, EASY
1222, 4, EASY
1223, 0, EASY
1224, 2, EASY
1225, 8, EASY
1226, 7, HARD
1227, 2, EASY
1228, 9, HARD
1229, 8, EASY
1230, 4, EASY
1231, 0, EASY
1232, 9, HARD
1233, 5, EASY
1234, 8, HARD
1235, 5, EASY
1236, 1, EASY
1237, 2, EASY
1238, 1, EASY
1239, 3, EASY
1240, 1, EASY
1241, 7, EASY
1242, 4, HARD
1243, 5, EASY
1244, 7, EASY
1245, 2, EASY
1246, 0, EASY
1247, 9, HARD
1248, 8, EASY
1249, 8, EASY
1250, 6, EASY
1251, 2, EASY
1252, 5, EASY
1253, 4, EASY
1254, 1, EASY
1255, 9, EASY
1256, 2, HARD
1257, 1, EASY
1258, 5, EASY
1259, 8, EASY
1260, 7, HARD
1261, 0, EASY
1262, 2, EASY
1263, 4, EASY
1264, 4, EASY
1265, 3, EASY
1266, 6, EASY
1267, 8, EASY
1268, 8, EASY
1269, 2, EASY
1270, 4, EASY
1271, 0, EASY
1272, 5, EASY
1273, 0, EASY
1274, 4, EASY
1275, 4, EASY
1276, 7, EASY
1277, 9, EASY
1278, 3, EASY
1279, 4, EASY
1280, 1, EASY
1281, 5, EASY
1282, 9, EASY
1283, 7, HARD
1284, 3, EASY
1285, 5, EASY
1286, 8, EASY
1287, 8, EASY
1288, 0, EASY
1289, 5, EASY
1290, 3, EASY
1291, 3, EASY
1292, 6, EASY
1293, 6, EASY
1294, 0, EASY
1295, 1, EASY
1296, 6, EASY
1297, 0, EASY
1298, 3, EASY
1299, 5, HARD
1300, 4, EASY
1301, 4, EASY
1302, 1, EASY
1303, 2, EASY
1304, 9, EASY
1305, 1, EASY
1306, 4, EASY
1307, 6, EASY
1308, 9, EASY
1309, 9, EASY
1310, 3, EASY
1311, 9, EASY
1312, 8, EASY
1313, 4, EASY
1314, 4, EASY
1315, 3, EASY
1316, 1, EASY
1317, 3, EASY
1318, 1, EASY
1319, 8, HARD
1320, 8, EASY
1321, 7, EASY
1322, 9, EASY
1323, 4, EASY
1324, 8, EASY
1325, 8, HARD
1326, 7, HARD
1327, 9, EASY
1328, 7, EASY
1329, 1, EASY
1330, 4, EASY
1331, 5, EASY
1332, 6, EASY
1333, 0, EASY
1334, 5, EASY
1335, 2, EASY
1336, 2, EASY
1337, 2, HARD
1338, 1, EASY
1339, 5, EASY
1340, 5, EASY
1341, 2, EASY
1342, 4, EASY
1343, 9, EASY
1344, 6, EASY
1345, 2, EASY
1346, 7, EASY
1347, 7, EASY
1348, 2, EASY
1349, 2, EASY
1350, 1, EASY
1351, 1, EASY
1352, 2, EASY
1353, 8, EASY
1354, 3, EASY
1355, 7, EASY
1356, 2, EASY
1357, 4, EASY
1358, 1, EASY
1359, 7, EASY
1360, 1, EASY
1361, 7, EASY
1362, 6, EASY
1363, 7, EASY
1364, 8, HARD
1365, 2, EASY
1366, 7, EASY
1367, 3, EASY
1368, 1, EASY
1369, 7, EASY
1370, 5, EASY
1371, 8, EASY
1372, 2, EASY
1373, 6, EASY
1374, 2, EASY
1375, 2, EASY
1376, 5, EASY
1377, 6, EASY
1378, 5, EASY
1379, 0, EASY
1380, 9, EASY
1381, 2, EASY
1382, 4, EASY
1383, 3, EASY
1384, 3, EASY
1385, 9, EASY
1386, 7, EASY
1387, 6, EASY
1388, 6, EASY
1389, 8, EASY
1390, 0, EASY
1391, 4, EASY
1392, 1, EASY
1393, 5, HARD
1394, 8, EASY
1395, 2, EASY
1396, 9, EASY
1397, 1, EASY
1398, 8, EASY
1399, 0, EASY
1400, 6, EASY
1401, 7, EASY
1402, 2, HARD
1403, 1, EASY
1404, 0, EASY
1405, 5, EASY
1406, 5, EASY
1407, 2, EASY
1408, 0, EASY
1409, 2, EASY
1410, 2, HARD
1411, 0, EASY
1412, 2, EASY
1413, 4, EASY
1414, 9, EASY
1415, 8, EASY
1416, 0, EASY
1417, 9, EASY
1418, 9, EASY
1419, 4, EASY
1420, 6, EASY
1421, 5, EASY
1422, 4, EASY
1423, 9, EASY
1424, 1, EASY
1425, 8, EASY
1426, 3, EASY
1427, 4, EASY
1428, 9, EASY
1429, 9, HARD
1430, 1, EASY
1431, 2, EASY
1432, 2, EASY
1433, 8, HARD
1434, 1, EASY
1435, 9, EASY
1436, 6, EASY
1437, 4, EASY
1438, 0, EASY
1439, 9, EASY
1440, 4, EASY
1441, 8, EASY
1442, 3, EASY
1443, 8, EASY
1444, 6, HARD
1445, 0, EASY
1446, 2, EASY
1447, 5, EASY
1448, 1, EASY
1449, 9, EASY
1450, 6, EASY
1451, 2, EASY
1452, 9, EASY
1453, 4, HARD
1454, 0, EASY
1455, 9, EASY
1456, 6, EASY
1457, 0, EASY
1458, 6, EASY
1459, 2, EASY
1460, 5, EASY
1461, 4, EASY
1462, 2, EASY
1463, 3, EASY
1464, 8, EASY
1465, 4, EASY
1466, 5, HARD
1467, 5, EASY
1468, 0, EASY
1469, 3, EASY
1470, 8, EASY
1471, 5, EASY
1472, 3, EASY
1473, 5, EASY
1474, 8, EASY
1475, 6, EASY
1476, 5, EASY
1477, 7, EASY
1478, 6, EASY
1479, 3, EASY
1480, 3, EASY
1481, 9, EASY
1482, 6, EASY
1483, 1, EASY
1484, 1, EASY
1485, 2, EASY
1486, 9, EASY
1487, 0, EASY
1488, 4, EASY
1489, 3, EASY
1490, 3, EASY
1491, 6, EASY
1492, 9, EASY
1493, 5, EASY
1494, 7, HARD
1495, 3, EASY
1496, 7, EASY
1497, 7, EASY
